"t","rms","dp","logrms","logdp"
"70",3559785739.7638,0.3,9.55142385897327,-0.522878745280338
"80",3441977118.7885,0.3,9.53680797894421,-0.522878745280338
"90",3794038042.22334,0.3,9.57910168117701,-0.522878745280338
"10",2265675299.53676,0.2,9.35519766999179,-0.698970004336019
"100",2920307500.24706,0.2,9.46542858385569,-0.698970004336019
"120",2960490124.01001,0.2,9.47136361664413,-0.698970004336019
"150",3124643774.29192,0.2,9.49480051266323,-0.698970004336019
"170",3338942145.21319,0.2,9.5236088939773,-0.698970004336019
"20",2233862486.38692,0.2,9.3490564350099,-0.698970004336019
"200",3310036668.60214,0.2,9.51983280491873,-0.698970004336019
"220",3225176294.15614,0.2,9.50855345896714,-0.698970004336019
"250",3339099414.36258,0.2,9.52362934941267,-0.698970004336019
"270",3427197085.42934,0.2,9.53493907981747,-0.698970004336019
"30",2413187882.44756,0.2,9.38259113588878,-0.698970004336019
"300",3079901357.85031,0.2,9.4885368072708,-0.698970004336019
"40",2514796419.98284,0.2,9.40050283342509,-0.698970004336019
"400",3460248619.76262,0.2,9.53910730408524,-0.698970004336019
"50",2648920162.57211,0.2,9.42306886902698,-0.698970004336019
"60",2854158837.66493,0.2,9.45547813850599,-0.698970004336019
"70",2811843109.9003,0.2,9.44899108505141,-0.698970004336019
"80",2864174137.6043,0.2,9.45699941890872,-0.698970004336019
"90",2838809714.75483,0.2,9.45313628276835,-0.698970004336019
